App,Category,Rating,Reviews,Size in KB,Price,Content Rating,Current Version,Number of Languages
PAC-MAN Premium,Game,4.0,21292,100788,3.99,Everyone,6.3.5,10
Evernote - stay organized,Productivity,4.0,161065,158578,0.0,Everyone,8.2.2,23
"WeatherBug - Local Weather, Radar, Maps, Alerts",Weather,3.5,188583,100524,0.0,Everyone,5.0.0,3
"eBay: Best App to Buy, Sell, Save! Online Shopping",Shopping,4.0,262241,128512,0.0,Teen,5.10.0,9
Bible,Books & Reference,4.5,985920,92774,0.0,Everyone,7.5.1,45
Shanghai Mahjong,Game,4.0,8253,10485,0.99,Everyone,1.8,1
PayPal - Send and request money safely,Finance,4.0,119487,227795,0.0,Everyone,6.12.0,19
Pandora - Music & Radio,Music,4.0,1126879,130242,0.0,Teen,8.4.1,1
PCalc - The Best Calculator,Utilities,4.5,1117,49250,9.99,Everyone,3.6.6,1
Ms. PAC-MAN,Game,4.0,7885,70023,3.99,Everyone,4.0.4,10
Solitaire by MobilityWare,Game,4.5,76720,49618,4.99,Everyone,4.10.1,11
SCRABBLE Premium,Game,3.5,105776,227547,7.99,Everyone,5.19.0,6
Google – Search made just for mobile,Utilities,3.5,479440,179979,0.0,Mature 17+,27.0,33
Bank of America - Mobile Banking,Finance,3.5,119773,160925,0.0,Everyone,7.3.8,2
FreeCell,Game,4.5,6340,55153,4.99,Everyone,4.0.3,2
TripAdvisor Hotels Flights Restaurants,Travel & Local,4.0,56194,207907,0.0,Everyone,21.1,26
Facebook,Social,3.5,2974676,389879,0.0,Everyone,95.0,29
"Yelp - Nearby Restaurants, Shopping & Services",Travel & Local,4.0,223885,167407,0.0,Teen,11.15.0,18
,None,0.0,0,0,0.0,Unrated,,1
"Shazam - Discover music, artists, videos & lyrics",Music,4.0,402925,147093,0.0,Teen,11.0.3,16
Crash Bandicoot Nitro Kart 3D,Game,4.0,31456,10735,2.99,Everyone,1.0.0,1
iQuran,Books & Reference,4.5,2929,70707,1.99,Everyone,3.3,2
:) Sudoku +,Game,5.0,11447,6169,2.99,Everyone,5.2.6,1
"Yahoo Sports - Teams, Scores, News & Highlights",Sports,4.0,137951,130583,0.0,Everyone,6.9,6
Mileage Log | Fahrtenbuch,Business,4.5,8,71203,5.99,Everyone,9.0.5,3
,None,0.0,0,0,0.0,Unrated,,1
Cleartune - Chromatic Tuner,Music,4.0,3241,11423,3.99,Everyone,2.1.3,10
Lifesum – Inspiring healthy lifestyle app,Health & Fitness,3.5,5795,188017,0.0,Everyone,8.4.1,11
Hangman.,Game,3.0,42316,4765,0.0,Everyone 10+,2.0.6,1
,None,0.0,0,0,0.0,Unrated,,1
iTranslate - Language Translator & Dictionary,Productivity,3.5,123215,287933,0.0,Everyone,10.5.4,23
TouchOSC,Music,4.0,782,4263,4.99,Everyone,1.9.8,1
RadarScope,Weather,4.0,3449,172772,9.99,Everyone,3.4.1,1
LinkedIn,Social,3.5,71856,273844,0.0,Everyone,9.1.32,23
Period Tracker Deluxe,Health & Fitness,4.5,13350,40216,1.99,Teen,9.6,15
Election 2016 Map,Entertainment,3.0,137,2386,0.99,Everyone,5.0,1
Blackjack by MobilityWare,Game,3.5,180087,105431,0.0,Teen,5.5.3,5
,None,0.0,0,0,0.0,Unrated,,1
White Noise,Health & Fitness,4.0,33426,44129,0.99,Everyone,7.2,3
iHeartRadio – Free Music & Radio Stations,Music,4.0,293228,116443,0.0,Teen,8.0.0,2
Line Rider iRide™,Entertainment,3.5,21609,1646,1.99,Everyone 10+,2.4,1
Deliveries: a package tracker,Utilities,4.0,4684,30016,4.99,Everyone,8.0.3,9
Hurricane Pro,Weather,4.5,2104,29518,2.99,Mature 17+,5.2,1
,None,0.0,0,0,0.0,Unrated,,1
,None,0.0,0,0,0.0,Unrated,,1
,None,0.0,0,0,0.0,Unrated,,1
Fieldrunners,Game,4.0,41633,66872,2.99,Everyone 10+,1.7.177604,1
Juxtaposer,Photo & Video,4.5,3610,45229,2.99,Everyone,3.8.2,1
Deezer - Listen to your Favorite Music & Playlists,Music,3.0,4677,127470,0.0,Teen,6.19.0,21
iStellar,Maps & Navigation,3.5,30,44241,3.99,Everyone,2.9.0,2
Sonos Controller,Music,4.5,48905,107983,0.0,Everyone,7.2,12
Avertinoo,Maps & Navigation,3.0,32,8044,4.99,Everyone,3.9.2,7
Google Earth,Travel & Local,3.5,446185,37214,0.0,Everyone,7.1.6,30
iFart - The Original Fart Sounds App,Entertainment,3.0,21825,60320,1.99,Everyone 10+,4.0.8,1
PAC-MAN,Game,3.0,508808,100849,0.0,Everyone,6.3.5,10
,None,0.0,0,0,0.0,Unrated,,1
FOX Sports Mobile,Sports,3.0,57500,72748,0.0,Everyone,3.5.13,1
First Words Animals,Game,4.0,2576,32164,1.99,Everyone,7.0,1
WeatherPro,Weather,4.0,1572,69079,1.99,Everyone,4.8.2,13
HotSchedules,Business,3.0,3292,82037,2.99,Everyone,4.56.1,2
Star Walk - Find Stars And Planets in Sky Above,Education,4.5,8932,150195,4.99,Everyone,7.2.3,12
"The Weather Channel: Forecast, Radar & Alerts",Weather,3.5,495626,199734,0.0,Everyone,8.11,33
Big Day - Event Countdown,Lifestyle,3.0,812,13156,0.99,Everyone,8.2.0,7
12 Steps AA Companion - Alcoholics Anonymous,Lifestyle,3.5,1583,30367,2.99,Teen,2.5.9.2,1
OpenTable - Restaurant Reservations,Food & Drink,4.5,113936,93420,0.0,Everyone,10.18.0,6
VLC Remote,Entertainment,4.0,2027,31505,4.99,Everyone,9.30,33
gFlashPro - Flashcards & Tests,Education,4.0,768,25997,3.99,Everyone,7.1,3
Lose It! – Weight Loss Program and Calorie Counter,Health & Fitness,4.0,373835,182054,0.0,Everyone,8.0.2,1
Target,Shopping,3.0,108131,138754,0.0,Everyone,8.21.0,1
Fish Tycoon,Game,3.5,18943,13564,0.99,Everyone,1.1.0,1
"Amazon App: shop, scan, compare, and read reviews",Shopping,3.5,126312,133688,0.0,Everyone,9.10.0,8
Touchgrind,Game,4.0,35735,55205,4.99,Everyone,1.5.1,0
ProPresenter Remote,Utilities,3.0,410,46922,4.99,Everyone,4.8.1,1
iReal Pro - Music Book & Play Along,Music,4.5,1390,63283,12.99,Everyone,7.0.1,33
NRJ Radio,Music,3.5,38,53426,0.0,Everyone,5.2.6,4
Chase Mobile℠,Finance,4.5,233270,39505,0.0,Everyone,2.610,2
大辞林,Books & Reference,4.5,64,210088,21.99,Everyone,4.1.1,2
,None,0.0,0,0,0.0,Unrated,,1
Allrecipes Dinner Spinner,Food & Drink,3.5,109349,36399,0.0,Teen,6.3,1
新浪新闻-阅读最新时事热门头条资讯视频,News & Magazines,3.5,2229,115143,0.0,Mature 17+,6.2.1,1
MotionX GPS,Maps & Navigation,3.5,14970,56481,1.99,Everyone,24.2,1
AccuWeather - Weather for Life,Weather,3.5,144214,181941,0.0,Everyone,10.4.1,43
"Mint: Personal Finance, Budget, Bills & Money",Finance,4.0,232940,162891,0.0,Everyone,5.9.0,1
ABC News - US & World News + Live Video,News & Magazines,3.0,48407,98108,0.0,Teen,5.16,1
Rowmote: Remote Control for Mac,Utilities,3.5,5531,54088,0.99,Everyone,4.3,13
Peekaboo Barn,Education,4.0,3393,50155,1.99,Everyone,5.1.0,1
Speedtest by Ookla,Utilities,3.5,65016,23936,0.0,Everyone,3.8.2,17
,None,0.0,0,0,0.0,Unrated,,1
Pocket God,Entertainment,4.0,187529,145293,0.99,Everyone 10+,1.48.2,1
Nike+ Training Club - Workouts & Fitness Plans,Health & Fitness,3.5,33969,140367,0.0,Everyone,5.4.1,17
Citi Mobile®,Finance,3.5,48822,281244,0.0,Everyone,8.5.0,1
Phase 10 Pro - Play Your Friends!,Game,4.5,59155,66695,1.99,Everyone,3.2.0,1
"Kindle – Read eBooks, Magazines & Textbooks",Books & Reference,3.5,252076,169747,0.0,Everyone,5.11,9
,None,0.0,0,0,0.0,Unrated,,1
MASH,Game,4.0,4913,41691,1.99,Everyone 10+,3.3.2,15
同花顺-炒股、股票,Finance,3.5,1744,122886,0.0,Everyone,10.10.46,1
Wedding Dash Deluxe,Game,4.5,16567,55803,0.99,Everyone,2.29.13,1
,None,0.0,0,0,0.0,Unrated,,1
Beer Pong Game,Game,2.0,187315,188956,0.0,Mature 17+,17.05.15,9
Tempo - Metronome with Setlists,Music,4.5,4781,22185,2.99,Everyone,3.9.2,10
Skat,Game,4.5,94,66160,3.99,Everyone,11.0.10,1
Color Splash,Photo & Video,4.0,29554,28135,0.99,Everyone,3.6.1,3
Zombieville USA,Game,4.0,32988,27962,0.99,Teen,1.7,1
Skype for iPhone,Social,3.5,373519,133238,0.0,Everyone,6.35.1,32
Tumblr,Social,4.0,334293,151573,0.0,Mature 17+,8.6,16
iSwap Faces,Photo & Video,3.5,2302,27069,1.99,Everyone,5.1,1
Match™ - #1 Dating App.,Social,3.0,60659,101259,0.0,Mature 17+,17.05.01,10
Tozzle - Toddler's favorite puzzle,Game,4.0,2562,168192,2.99,Everyone,5.1,4
HomeBudget with Sync,Finance,3.5,3042,17485,4.99,Everyone,3.3.0,11
Wind Meter,Weather,2.5,338,5234,0.99,Everyone,5.0,1
Map My Run+ - GPS Running & Workout Tracker,Health & Fitness,4.5,16434,237913,2.99,Everyone,17.5.5,9
Map My Ride+ - GPS Cycling & Route Tracker,Health & Fitness,4.5,10046,233513,2.99,Everyone,17.5.5,9
"HuffPost - News, Politics & Entertainment",News & Magazines,3.0,29107,110420,0.0,Teen,11.2,10
Phrase Party!,Game,4.0,878,47774,1.99,Mature 17+,8.7.5,1
Minesweeper Classic,Game,3.5,1140,22259,0.99,Everyone,3.6,1
Sally's Spa,Game,4.5,35074,431771,2.99,Everyone,3.3.0,6
"CBS Sports App - Sports Scores, News, Stats, Watch",Sports,3.0,59639,120357,0.0,Mature 17+,10.2.2,1
Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,Health & Fitness,4.0,2913,90828,4.99,Everyone,7.4,1
iSwap Faces LITE,Photo & Video,3.0,39722,30796,0.0,Everyone,5.1,1
DIRECTV,Entertainment,3.5,81006,151397,0.0,Everyone,4.9.705,1
NYTimes Crossword - Daily Word Puzzle Game,Game,3.5,53465,46880,0.0,Everyone,2.8.1,1
Doodle Jump,Game,4.5,395261,48741,0.99,Everyone,3.17.6,1
LEDit – The LED Banner App,Utilities,4.5,2021,17145,1.99,Everyone,3.5.1,12
niconico,Entertainment,3.0,182,25808,0.0,Mature 17+,6.52,3
Fandango Movies - Times + Tickets,Entertainment,4.0,291787,81924,0.0,Everyone,8.6,1
iCab Mobile (Web Browser),Utilities,4.0,2441,19451,1.99,Mature 17+,9.9,12
,None,0.0,0,0,0.0,Unrated,,1
iRagdoll - Ragdoll Physics,Game,4.0,1372,118683,0.99,Teen,1.8.3,1
Proloquo2Go - Symbol-based AAC,Education,4.0,773,723764,249.99,Everyone,5.0.1,3
Dictionary.com Dictionary & Thesaurus,Books & Reference,4.0,200047,111275,0.0,Everyone,7.1.3,1
,None,0.0,0,0,0.0,Unrated,,1
20 Minutes.fr - l'actualité en continu,News & Magazines,3.5,112,109616,0.0,Teen,5.0.11,17
The Masters Tournament,Sports,4.5,148160,120725,0.0,Everyone,9.0.701,1
myAT&T,Utilities,3.0,108507,68491,0.0,Everyone,5.3,2
SFR TV,Entertainment,3.0,46,122153,0.0,Everyone,7.3.0,1
"Shutterfly: Prints, Photo Books, Cards Made Easy",Photo & Video,4.0,51427,122315,0.0,Everyone,7.7.0,1
StickWars,Game,3.5,53821,17010,0.99,Teen,1.8.9,1
Indeed Job Search,Business,4.0,38681,3691,0.0,Everyone,4.3,28
World Cup Table Tennis™,Game,4.0,17776,31387,0.99,Everyone,4.6.1,11
WhatsApp Messenger,Social,4.5,287589,135044,0.0,Everyone,2.17.22,35
"iStudiez Pro – Homework, Schedule, Grades",Productivity,4.0,7308,55815,2.99,Everyone,1.9.1,30
Zillow Real Estate - Homes for Sale & for Rent,Lifestyle,4.5,342969,132632,0.0,Everyone,10.4.5,1
,None,0.0,0,0,0.0,Unrated,,1
2XL Supercross,Game,4.0,6093,270729,4.99,Everyone,1.2.1,7
